BBOalert
1C--1DDb1N--2C--2S--3C--,3H,4!S + 4!D; 4-3-4-2
1C--1DDb1N--2C--2S--3C--,3N,4-5!S; *4-3-3-3    *5332 dist.
1C--1DDb1N--2C--2S--3C--,3S,4!S + 4!D; 4-2-4-3
1C--1DDb1N--,2D,Trans -> !H
1C--1DDb1N--2D--,2H,3!H
1C--1DDb1N--2D--,3H,MAX; 4!H
1C--1DDb1N--2D--,3S,MAX; 4!H; 2!S
1C--1DDb1N--,2H,Trans -> !S
1C--1DDb1N--2H--,2S,3!S
1C--1DDb1N--2H--,3H,MAX; 4!S; 2!H
1C--1DDb1N--2H--,3S,MAX; 4!S
1C--1DDb1N--,2N,Trans -> !D
1C--1DDb1N--2N--,3C,MAX; 3+!D
1C--1DDb1N--2N--3C--,3D,Signoff
1C--1DDb1N--2N--3C--,3H,0-1!H; GF
1C--1DDb1N--2N--3C--,3N,Solid !D
1C--1DDb1N--2N--3C--,3S,0-1!S; GF
1C--1DDb1N--2N--3C--,4C,0-1!C; GF
1C--1DDb1N--2N--3C--,4D,Slam try; CUE continue
1C--1DDb1N--2N--3C--,4H,RKCB 14/03 in !D
1C--1DDb1N--2N--,3D,Relay
1C--1DDb1N--2N--3D--,3H,0-1!H; GF
1C--1DDb1N--2N--3D--,3N,Solid !D
1C--1DDb1N--2N--3D--,3S,0-1!S; GF
1C--1DDb1N--2N--3D--,4C,0-1!C; GF
1C--1DDb1N--2N--3D--,4D,Slam try; CUE continue
1C--1DDb1N--2N--3D--,4H,RKCB 14/03 in !D
1C--1DDb1N--2N--3D--,--,To play
1C--1DDb1N--,2S,Trans -> !C
1C--1DDb1N--2S--,2N,MAX; 3+!C
1C--1DDb1N--2S--2N--,3C,Signoff
1C--1DDb1N--2S--2N--,3D,0-1!D; GF
1C--1DDb1N--2S--2N--,3H,0-1!H; GF
1C--1DDb1N--2S--2N--,3N,Solid !C
1C--1DDb1N--2S--2N--,3S,0-1!S; GF
1C--1DDb1N--2S--2N--,4C,Slam try; CUE continue
1C--1DDb1N--2S--2N--,4D,RKCB 14/03 in !C
1C--1DDb1N--2S--,3C,Relay
1C--1DDb1N--2S--3C--,3D,0-1!D; GF
1C--1DDb1N--2S--3C--,3H,0-1!H; GF
1C--1DDb1N--2S--3C--,3N,Solid !C
1C--1DDb1N--2S--3C--,3S,0-1!S; GF
1C--1DDb1N--2S--3C--,4C,Slam try; CUE continue
1C--1DDb1N--2S--3C--,4D,RKCB 14/03 in !C
1C--1DDb1N--2S--3C--,--,To play
1C--1DDb1N--,3C,5+!D; 0-1!C. 4!H+4!S
1C--1DDb1N--3C--,3D,MAXIMUM
1C--1DDb1N--3C--3D--,3H,4!H
1C--1DDb1N--3C--3D--3H--,3N,Slam invite
1C--1DDb1N--3C--3D--3H--,3S,4!S
1C--1DDb1N--3C--3D--3H--,4C,4!C; !H agreed; Good hand
1C--1DDb1N--3C--3D--3H--,4D,4+!D; Slam invite
1C--1DDb1N--3C--3D--3H--,4H,Signoff
1C--1DDb1N--3C--3D--3H--,5D,Signoff
1C--1DDb1N--3C--3D--,3S,4!S
1C--1DDb1N--3C--3D--3S--,3N,Slam invite
1C--1DDb1N--3C--3D--3S--,4C,4!C; !S agreed; Good hand
1C--1DDb1N--3C--3D--3S--,4D,4+!D; Slam invite
1C--1DDb1N--3C--3D--3S--,4S,Signoff
1C--1DDb1N--3C--3D--3S--,5D,Signoff
1C--1DDb1N--3C--,3H,4+!H; 3NT or slam?
1C--1DDb1N--3C--3H--,3N,Signoff
1C--1DDb1N--3C--3H--,3S,4!S
1C--1DDb1N--3C--3H--3S--,3N,ASK distrib
1C--1DDb1N--3C--3H--3S--3N--,4C,4-3-6-0
1C--1DDb1N--3C--3H--3S--3N--,4D,Good hand; Slam invite
1C--1DDb1N--3C--3H--,4C,4!H; !C: Ace or void
1C--1DDb1N--3C--3H--,4D,4!H; Good hand. Slam invite
1C--1DDb1N--3C--3H--,4H,Signoff
1C--1DDb1N--3C--3H--,4N,4!H; RKCB 14/03 in !H
1C--1DDb1N--3C--,3N,Signoff
1C--1DDb1N--3C--,3S,4+!S; 3NT or slam?
1C--1DDb1N--3C--3S--,3N,Signoff
1C--1DDb1N--3C--3S--,4C,4!S; !C: Ace or void
1C--1DDb1N--3C--3S--,4D,4!S; Good hand. Slam invite
1C--1DDb1N--3C--3S--,4H,Signoff
1C--1DDb1N--3C--3S--,4N,4!S; RKCB 14/03 in !S
1C--1DDb1N--3C--,4C,4+!D
1C--1DDb1N--3C--4C--,4D,Good !C or void !C
1C--1DDb1N--,3D,5+!C; 0-1!D. 4!H+4!S
1C--1DDb1N--3D--,3H,4+!H
1C--1DDb1N--3D--3H--,3N,Signoff
1C--1DDb1N--3D--3H--,3S,4!S
1C--1DDb1N--3D--3H--3S--,3N,ASK distrib
1C--1DDb1N--3D--3H--3S--3N--,4C,4-3-0-6
1C--1DDb1N--3D--3H--3S--3N--,4D,Good hand; Slam invite
1C--1DDb1N--3D--3H--,4C,4!H; Good !C
1C--1DDb1N--3D--3H--,4D,4!H; Good hand
1C--1DDb1N--3D--3H--,4H,Signoff
1C--1DDb1N--3D--3H--,4N,4!H; RKCB 14/03 in !H
1C--1DDb1N--3D--,3N,Signoff
1C--1DDb1N--3D--,3S,4+!S
1C--1DDb1N--3D--3S--,3N,Signoff
1C--1DDb1N--3D--3S--,4C,4!S; Good !C
1C--1DDb1N--3D--3S--,4D,4!S; Good hand
1C--1DDb1N--3D--3S--,4H,CUE; !S agreed
1C--1DDb1N--3D--3S--,4N,4!S; RKCB 14/03 in !S
1C--1DDb1N--3D--3S--,4S,Signoff
1C--1DDb1N--3D--,4C,No 4card MAJOR
1C--1DDb1N--3D--4C--,4D,Good !C or void !C
1C--1DDb1N--3D--,4D,4+!C
1C--1DDb1N--3D--,5C,4+!C; Signoff
1C--1DDb1N--,3H,Minors: 5-4; 0-1!H
1C--1DDb1N--3H--,3N,Signoff
1C--1DDb1N--3H--,3S,ASK distrib
1C--1DDb1N--3H--3S--,3N,6-5 or better
1C--1DDb1N--3H--3S--,4C,3-1-4-5
1C--1DDb1N--3H--3S--,4D,3-1-5-4
1C--1DDb1N--3H--3S--,4H,3-0-5-5
1C--1DDb1N--3H--,4C,Slam try in !C
1C--1DDb1N--3H--,4D,Slam try in !D
1C--1DDb1N--3H--,4H,MAXIMUM
1C--1DDb1N--3H--,4S,Signoff if 3!S
1C--1DDb1N--3H--,5C,Signoff
1C--1DDb1N--3H--,5D,Signoff
1C--1DDb1N--,3N,Signoff
1C--1DDb1N--,3S,Minors: 5-4; 0-1!S
1C--1DDb1N--3S--,3N,Signoff
1C--1DDb1N--3S--,4C,Slam try in !C
1C--1DDb1N--3S--,4D,Slam try in !D
1C--1DDb1N--3S--,4H,Signoff if 3!H
1C--1DDb1N--3S--,5C,Signoff
1C--1DDb1N--3S--,5D,Signoff
1C--1DDb1N--,4C,Gerber
1C--1DDb1N--,4D,Trans -> !H
1C--1DDb1N--,4H,Trans -> !S
1C--1DDb1N--,4N,Slam invite
1C--1DDb1N--,--,To play
1C--1DDb,1S,Please read chat#*12-15HcP; 3-4!S   *15-18HcP; 4!S   *19-20HcP; 5!S  19-20HcP; 4!S+5!D 
1C--1DDb1S--,1N,Weak; No fit
1C--1DDb1S--,2C,7-11HcP; 5+!C
1C--1DDb1S--,2D,7-11HcP; 5+!D
1C--1DDb1S--,2H,6+!H; Signoff
1C--1DDb1S--,2N,16+HcP; bal
1C--1DDb1S--2N--,3C,Stayman
1C--1DDb1S--,2S,5+!S; Preempt
1C--1DDb1S--,--,To play
1C--1DDb,2C,16+HcP; 5+!C
1C--1DDb,2D,GF any
1C--1DDb2D--,2H,ASK distrib
1C--1DDb,2H,5+!H; Strong invite
1C--1DDb,2N,22-24HcP; bal
1C--1DDb2N--,3C,Stayman
1C--1DDb2N--,3D,Trans -> !H
1C--1DDb2N--,3H,Trans -> !S
1C--1DDb2N--,3N,Signoff
1C--1DDb,2S,5+!S; Strong invite
1C--1DDb,3C,18-21HcP; 6+!C; NF
1C--1DDb,3D,18-21HcP; 6+!D; NF
1C--1DDb,3H,18-21HcP; exactly 9 playing tricks
1C--1DDb,3N,19-22HcP; A solid minor
1C--1DDb,3S,18-21HcP; exactly 9 playing tricks
1C--1DDb,--,2-3!D
1C--1DDb,Rd,4!H + 4!S; Takeout
1C--1D--,1H,Please read chat#*12-15HcP; 3-4!H   *15-18HcP; 4!H   *19-20HcP; 5!H  19-20HcP; 4!H+5!D 
1C--1D--1H--,1N,Weak; No fit
1C--1D--1H--,1S,0-6HcP; 4+!S
1C--1D--1H--,2C,7-11HcP; 5+!C
1C--1D--1H--,2D,7-11HcP; 5+!D
1C--1D--1H--,2H,5+!H; Preempt
1C--1D--1H--,2N,16+HcP; bal
1C--1D--1H--2N--,3C,Stayman
1C--1D--1H--,--,To play
1C--1D--1N2C,2D,5+!D; NF
1C--1D--1N2C,2H,5+!H; NF
1C--1D--1N2C,2N,*Weak !C   *GF any; No stop
1C--1D--1N2C2N--,3C,Relay
1C--1D--1N2C2N--3C--,3D,A MAJOR; No stop
1C--1D--1N2C2N--3C--3D--,3H,4!H
1C--1D--1N2C2N--3C--3D--,3N,Stop OK
1C--1D--1N2C2N--3C--3D--,3S,4!S
1C--1D--1N2C2N--3C--3D--,4C,4!H + 4!S
1C--1D--1N2C2N--3C--,--,To play
1C--1D--1N2C,2S,5+!S; NF
1C--1D--1N2C,3C,ASK stop
1C--1D--1N2C3C--,3D,No stop
1C--1D--1N2C3C--,3N,Stop OK
1C--1D--1N2C,3D,5+!D; Invite
1C--1D--1N2C,3H,5+!H; Invite
1C--1D--1N2C,3N,Signoff
1C--1D--1N2C,3S,5+!S; Invite
1C--1D--1N2C,4D,Trans -> !H
1C--1D--1N2C,4H,Trans -> !S
1C--1D--1N2C,Db,Sputnik; No rebid promised
1C--1D--1N2C,--,To play
1C--1D--1N2D,2H,5+!H; NF
1C--1D--1N2D,2N,*Weak !C   *GF any; No stop
1C--1D--1N2D2N--,3C,Relay
1C--1D--1N2D2N--3C--,3D,A MAJOR; No stop
1C--1D--1N2D2N--3C--3D--,3H,4!H
1C--1D--1N2D2N--3C--3D--,3N,Stop OK
1C--1D--1N2D2N--3C--3D--,3S,4!S
1C--1D--1N2D2N--3C--3D--,4C,4!H + 4!S
1C--1D--1N2D2N--3C--,--,To play
1C--1D--1N2D,2S,5+!S; NF
1C--1D--1N2D,3C,5+!C; NF
1C--1D--1N2D,3D,ASK stop
1C--1D--1N2D3D--,3H,No stop
1C--1D--1N2D3D--,3N,Stop OK
1C--1D--1N2D,3H,5+!H; Invite
1C--1D--1N2D,3N,Signoff
1C--1D--1N2D,3S,5+!S; Invite
1C--1D--1N2D,4C,5+!C; Invite
1C--1D--1N2D,4D,Trans -> !H
1C--1D--1N2D,4H,Trans -> !S
1C--1D--1N2D,Db,Sputnik; No rebid promised
1C--1D--1N2D,--,To play
1C--1D--1N2H,2N,*Weak minor   *GF any; No stop
1C--1D--1N2H2N--,3C,Relay
1C--1D--1N2H2N--3C--,3D,Signoff
1C--1D--1N2H2N--3C--,3H,4!S; No stop
1C--1D--1N2H2N--3C--,3N,4!S + stop
1C--1D--1N2H2N--3C--,3S,5!S; GF
1C--1D--1N2H2N--3C--,4H,Trans -> !S
1C--1D--1N2H2N--3C--,--,To play
1C--1D--1N2H,2S,5+!S; NF
1C--1D--1N2H,3C,6+!C; Invite
1C--1D--1N2H,3D,6+!D; Invite
1C--1D--1N2H,3H,ASK stop
1C--1D--1N2H3H--,3N,Stop OK
1C--1D--1N2H3H--,3S,No stop
1C--1D--1N2H,3N,Signoff
1C--1D--1N2H,3S,5+!S; Invite
1C--1D--1N2H,4H,Trans -> !S
1C--1D--1N2H,Db,Penalty
1C--1D--1N2H,--,To play
1C--1D--1N2S,2N,*Weak minor   *GF any; No stop
1C--1D--1N2S2N--,3C,Relay
1C--1D--1N2S2N--3C--,3D,Signoff
1C--1D--1N2S2N--3C--,3H,5!H; GF
1C--1D--1N2S2N--3C--,3N,4!H + stop
1C--1D--1N2S2N--3C--,3S,4!H; No stop
1C--1D--1N2S2N--3C--,4D,Trans -> !H
1C--1D--1N2S2N--3C--,--,To play
1C--1D--1N2S,3C,6+!C; Invite
1C--1D--1N2S,3D,6+!D; Invite
1C--1D--1N2S,3H,5+!H; Invite
1C--1D--1N2S,3N,Signoff
1C--1D--1N2S,3S,ASK stop
1C--1D--1N2S3S--,3N,Stop OK
1C--1D--1N2S3S--,4C,No stop
1C--1D--1N2S,4D,Trans -> !H
1C--1D--1N2S,Db,Penalty
1C--1D--1N2S,--,To play
1C--1D--,1N,18-21HcP; bal
1C--1D--1NDb,2C,6+!C; NF
1C--1D--1NDb,2D,6+!D; NF
1C--1D--1NDb,2H,5+!H; NF
1C--1D--1NDb2N3C,Db,ASK distrib
1C--1D--1NDb2N3CDb--,3D,!D + !H
1C--1D--1NDb2N3CDb--,3H,!H + !S
1C--1D--1NDb2N3CDb--,3N,!C + !D
1C--1D--1NDb2N3CDb--,3S,!S + !C
1C--1D--1NDb2N3CDb--,4C,!C + !H
1C--1D--1NDb2N3CDb--,4D,!D + !S
1C--1D--1NDb2N3CDbRd,3D,!D + !H
1C--1D--1NDb2N3CDbRd,3H,!H + !S
1C--1D--1NDb2N3CDbRd,3N,!C + !D
1C--1D--1NDb2N3CDbRd,3S,!S + !C
1C--1D--1NDb2N3CDbRd,4C,!C + !H
1C--1D--1NDb2N3CDbRd,4D,!D + !S
1C--1D--1NDb,2N,Any 2-suiter; GF
1C--1D--1NDb2NDb,3C,ASK distrib
1C--1D--1NDb2NDb3CDb,3D,!D + !H
1C--1D--1NDb2NDb3CDb,3H,!H + !S
1C--1D--1NDb2NDb3CDb,3N,!C + !D
1C--1D--1NDb2NDb3CDb,3S,!S + !C
1C--1D--1NDb2NDb3CDb,4C,!C + !H
1C--1D--1NDb2NDb3CDb,4D,!D + !S
1C--1D--1NDb2NDb3C--,3D,!D + !H
1C--1D--1NDb2NDb3C--,3H,!H + !S
1C--1D--1NDb2NDb3C--,3N,!C + !D
1C--1D--1NDb2NDb3C--,3S,!S + !C
1C--1D--1NDb2NDb3C--,4C,!C + !H
1C--1D--1NDb2NDb3C--,4D,!D + !S
1C--1D--1NDb2N--,3C,ASK distrib
1C--1D--1NDb2N--3CDb,3D,!D + !H
1C--1D--1NDb2N--3CDb,3H,!H + !S
1C--1D--1NDb2N--3CDb,3N,!C + !D
1C--1D--1NDb2N--3CDb,3S,!S + !C
1C--1D--1NDb2N--3CDb,4C,!C + !H
1C--1D--1NDb2N--3CDb,4D,!D + !S
1C--1D--1NDb2N--3C--,3D,!D + !H
1C--1D--1NDb2N--3C--,3H,!H + !S
1C--1D--1NDb2N--3C--,3N,!C + !D
1C--1D--1NDb2N--3C--,3S,!S + !C
1C--1D--1NDb2N--3C--,4C,!C + !H
1C--1D--1NDb2N--3C--,4D,!D + !S
1C--1D--1NDb,2S,5+!S; NF
1C--1D--1NDb,3C,6+!C; Preempt
1C--1D--1NDb,3D,6+!D; Preempt
1C--1D--1NDb,3H,5+!H; Preempt
1C--1D--1NDb,3S,5+!S; Preempt
1C--1D--1NDb,--,To play
1C--1D--1NDb,Rd,8+HcP; Round
1C--1D--1N--,2C,Stayman
1C--1D--1N--2C--,2D,No 4card MAJOR
1C--1D--1N--2C--2D--,2H,4!H + 4!S; Weak. Pass/correct
1C--1D--1N--2C--2D--,2N,Invite
1C--1D--1N--2C--2D--,2S,ASK distrib
1C--1D--1N--2C--2D--2S--,2N,3-3-3-4; 3-3-4-3
1C--1D--1N--2C--2D--2S--2N--,3C,ASK distrib
1C--1D--1N--2C--2D--2S--2N--3C--,3D,3-3-3-4
1C--1D--1N--2C--2D--2S--2N--3C--,3H,3-3-4-3
1C--1D--1N--2C--2D--2S--,3C,5!C
1C--1D--1N--2C--2D--2S--3C--,3D,ASK distrib
1C--1D--1N--2C--2D--2S--3C--3D--,3H,3-3-2-5
1C--1D--1N--2C--2D--2S--3C--3D--,3N,2-3-3-5
1C--1D--1N--2C--2D--2S--3C--3D--,3S,3-2-3-5
1C--1D--1N--2C--2D--2S--,3D,5!D
1C--1D--1N--2C--2D--2S--3D--,3H,ASK distrib
1C--1D--1N--2C--2D--2S--3D--3H--,3N,2-3-5-3
1C--1D--1N--2C--2D--2S--3D--3H--,3S,3-2-5-3
1C--1D--1N--2C--2D--2S--,3H,3-2-4-4
1C--1D--1N--2C--2D--2S--,3N,3-3-5-2
1C--1D--1N--2C--2D--2S--,3S,2-3-4-4
1C--1D--1N--2C--2D--,3C,4-4-4-1
1C--1D--1N--2C--2D--,3D,4-4-1-4
1C--1D--1N--2C--2D--,3H,4-1-4-4
1C--1D--1N--2C--2D--,3S,1-4-4-4
1C--1D--1N--2C--,2H,4+!H
1C--1D--1N--2C--2H--,2S,ASK distrib
1C--1D--1N--2C--2H--2S--,2N,3-4-3-3
1C--1D--1N--2C--2H--2S--,3C,4!H + 4!C
1C--1D--1N--2C--2H--2S--3C--,3D,ASK distrib
1C--1D--1N--2C--2H--2S--3C--3D--,3H,3-4-2-4
1C--1D--1N--2C--2H--2S--3C--3D--,3S,2-4-3-4
1C--1D--1N--2C--2H--2S--,3D,4!H + 4!D
1C--1D--1N--2C--2H--2S--3D--,3H,ASK distrib
1C--1D--1N--2C--2H--2S--3D--3H--,3N,2-4-4-3
1C--1D--1N--2C--2H--2S--3D--3H--,3S,3-4-4-2
1C--1D--1N--2C--2H--2S--,3H,5!H; 3-5-3-2
1C--1D--1N--2C--2H--2S--,3N,5!H; 2-5-3-3
1C--1D--1N--2C--2H--2S--,3S,5!H; 3-5-2-3
1C--1D--1N--2C--2H--,3H,Invite
1C--1D--1N--2C--2H--,4H,Signoff
1C--1D--1N--2C--,2N,4!H + 4!S
1C--1D--1N--2C--2N--,3D,Trans -> !H
1C--1D--1N--2C--2N--,3H,Trans -> !S
1C--1D--1N--2C--,2S,4+!S
1C--1D--1N--2C--2S--,3C,ASK distrib
1C--1D--1N--2C--2S--3C--,3D,4!S + 4!C
1C--1D--1N--2C--2S--3C--3D--,3H,ASK distrib
1C--1D--1N--2C--2S--3C--3D--3H--,3N,4-2-3-4
1C--1D--1N--2C--2S--3C--3D--3H--,3S,4-3-2-4
1C--1D--1N--2C--2S--3C--,3H,4!S + 4!D; 4-3-4-2
1C--1D--1N--2C--2S--3C--,3N,4-5!S; *4-3-3-3    *5332 dist.
1C--1D--1N--2C--2S--3C--,3S,4!S + 4!D; 4-2-4-3
1C--1D--1N--,2D,Trans -> !H
1C--1D--1N--2D--,2H,3!H
1C--1D--1N--2D--,3H,MAX; 4!H
1C--1D--1N--2D--,3S,MAX; 4!H; 2!S
1C--1D--1N--,2H,Trans -> !S
1C--1D--1N--2H--,2S,3!S
1C--1D--1N--2H--,3H,MAX; 4!S; 2!H
1C--1D--1N--2H--,3S,MAX; 4!S
1C--1D--1N--,2N,Trans -> !D
1C--1D--1N--2N--,3C,MAX; 3+!D
1C--1D--1N--2N--3C--,3D,Signoff
1C--1D--1N--2N--3C--,3H,0-1!H; GF
1C--1D--1N--2N--3C--,3N,Solid !D
1C--1D--1N--2N--3C--,3S,0-1!S; GF
1C--1D--1N--2N--3C--,4C,0-1!C; GF
1C--1D--1N--2N--3C--,4D,Slam try; CUE continue
1C--1D--1N--2N--3C--,4H,RKCB 14/03 in !D
1C--1D--1N--2N--,3D,Relay
1C--1D--1N--2N--3D--,3H,0-1!H; GF
1C--1D--1N--2N--3D--,3N,Solid !D
1C--1D--1N--2N--3D--,3S,0-1!S; GF
1C--1D--1N--2N--3D--,4C,0-1!C; GF
1C--1D--1N--2N--3D--,4D,Slam try; CUE continue
1C--1D--1N--2N--3D--,4H,RKCB 14/03 in !D
1C--1D--1N--2N--3D--,--,To play
1C--1D--1N--,2S,Trans -> !C
1C--1D--1N--2S--,2N,MAX; 3+!C
1C--1D--1N--2S--2N--,3C,Signoff
1C--1D--1N--2S--2N--,3D,0-1!D; GF
1C--1D--1N--2S--2N--,3H,0-1!H; GF
1C--1D--1N--2S--2N--,3N,Solid !C
1C--1D--1N--2S--2N--,3S,0-1!S; GF
1C--1D--1N--2S--2N--,4C,Slam try; CUE continue
1C--1D--1N--2S--2N--,4D,RKCB 14/03 in !C
1C--1D--1N--2S--,3C,Relay
1C--1D--1N--2S--3C--,3D,0-1!D; GF
1C--1D--1N--2S--3C--,3H,0-1!H; GF
1C--1D--1N--2S--3C--,3N,Solid !C
1C--1D--1N--2S--3C--,3S,0-1!S; GF
1C--1D--1N--2S--3C--,4C,Slam try; CUE continue
1C--1D--1N--2S--3C--,4D,RKCB 14/03 in !C
1C--1D--1N--2S--3C--,--,To play
1C--1D--1N--,3C,5+!D; 0-1!C. 4!H+4!S
1C--1D--1N--3C--,3D,MAXIMUM
1C--1D--1N--3C--3D--,3H,4!H
1C--1D--1N--3C--3D--3H--,3N,Slam invite
1C--1D--1N--3C--3D--3H--,3S,4!S
1C--1D--1N--3C--3D--3H--,4C,4!C; !H agreed; Good hand
1C--1D--1N--3C--3D--3H--,4D,4+!D; Slam invite
1C--1D--1N--3C--3D--3H--,4H,Signoff
1C--1D--1N--3C--3D--3H--,5D,Signoff
1C--1D--1N--3C--3D--,3S,4!S
1C--1D--1N--3C--3D--3S--,3N,Slam invite
1C--1D--1N--3C--3D--3S--,4C,4!C; !S agreed; Good hand
1C--1D--1N--3C--3D--3S--,4D,4+!D; Slam invite
1C--1D--1N--3C--3D--3S--,4S,Signoff
1C--1D--1N--3C--3D--3S--,5D,Signoff
1C--1D--1N--3C--,3H,4+!H; 3NT or slam?
1C--1D--1N--3C--3H--,3N,Signoff
1C--1D--1N--3C--3H--,3S,4!S
1C--1D--1N--3C--3H--3S--,3N,ASK distrib
1C--1D--1N--3C--3H--3S--3N--,4C,4-3-6-0
1C--1D--1N--3C--3H--3S--3N--,4D,Good hand; Slam invite
1C--1D--1N--3C--3H--,4C,4!H; !C: Ace or void
1C--1D--1N--3C--3H--,4D,4!H; Good hand. Slam invite
1C--1D--1N--3C--3H--,4H,Signoff
1C--1D--1N--3C--3H--,4N,4!H; RKCB 14/03 in !H
1C--1D--1N--3C--,3N,Signoff
1C--1D--1N--3C--,3S,4+!S; 3NT or slam?
1C--1D--1N--3C--3S--,3N,Signoff
1C--1D--1N--3C--3S--,4C,4!S; !C: Ace or void
1C--1D--1N--3C--3S--,4D,4!S; Good hand. Slam invite
1C--1D--1N--3C--3S--,4H,Signoff
1C--1D--1N--3C--3S--,4N,4!S; RKCB 14/03 in !S
1C--1D--1N--3C--,4C,4+!D
1C--1D--1N--3C--4C--,4D,Good !C or void !C
1C--1D--1N--,3D,5+!C; 0-1!D. 4!H+4!S
1C--1D--1N--3D--,3H,4+!H
1C--1D--1N--3D--3H--,3N,Signoff
1C--1D--1N--3D--3H--,3S,4!S
1C--1D--1N--3D--3H--3S--,3N,ASK distrib
1C--1D--1N--3D--3H--3S--3N--,4C,4-3-0-6
1C--1D--1N--3D--3H--3S--3N--,4D,Good hand; Slam invite
1C--1D--1N--3D--3H--,4C,4!H; Good !C
1C--1D--1N--3D--3H--,4D,4!H; Good hand
1C--1D--1N--3D--3H--,4H,Signoff
1C--1D--1N--3D--3H--,4N,4!H; RKCB 14/03 in !H
1C--1D--1N--3D--,3N,Signoff
1C--1D--1N--3D--,3S,4+!S
1C--1D--1N--3D--3S--,3N,Signoff
1C--1D--1N--3D--3S--,4C,4!S; Good !C
1C--1D--1N--3D--3S--,4D,4!S; Good hand
1C--1D--1N--3D--3S--,4H,CUE; !S agreed
1C--1D--1N--3D--3S--,4N,4!S; RKCB 14/03 in !S
1C--1D--1N--3D--3S--,4S,Signoff
1C--1D--1N--3D--,4C,No 4card MAJOR
1C--1D--1N--3D--4C--,4D,Good !C or void !C
1C--1D--1N--3D--,4D,4+!C
1C--1D--1N--3D--,5C,4+!C; Signoff
1C--1D--1N--,3H,Minors: 5-4; 0-1!H
1C--1D--1N--3H--,3N,Signoff
1C--1D--1N--3H--,3S,ASK distrib
1C--1D--1N--3H--3S--,3N,6-5 or better
1C--1D--1N--3H--3S--,4C,3-1-4-5
1C--1D--1N--3H--3S--,4D,3-1-5-4
1C--1D--1N--3H--3S--,4H,3-0-5-5
1C--1D--1N--3H--,4C,Slam try in !C
1C--1D--1N--3H--,4D,Slam try in !D
1C--1D--1N--3H--,4H,MAXIMUM
1C--1D--1N--3H--,4S,Signoff if 3!S
1C--1D--1N--3H--,5C,Signoff
1C--1D--1N--3H--,5D,Signoff
1C--1D--1N--,3N,Signoff
1C--1D--1N--,3S,Minors: 5-4; 0-1!S
1C--1D--1N--3S--,3N,Signoff
1C--1D--1N--3S--,4C,Slam try in !C
1C--1D--1N--3S--,4D,Slam try in !D
1C--1D--1N--3S--,4H,Signoff if 3!H
1C--1D--1N--3S--,5C,Signoff
1C--1D--1N--3S--,5D,Signoff
1C--1D--1N--,4C,Gerber
1C--1D--1N--,4D,Trans -> !H
1C--1D--1N--,4H,Trans -> !S
1C--1D--1N--,4N,Slam invite
1C--1D--1N--,--,To play
1C--1D--,1S,Please read chat#*12-15HcP; 3-4!S   *15-18HcP; 4!S   *19-20HcP; 5!S  19-20HcP; 4!S+5!D 
1C--1D--1S--,1N,Weak; No fit
1C--1D--1S--,2C,7-11HcP; 5+!C
1C--1D--1S--,2D,7-11HcP; 5+!D
1C--1D--1S--,2H,6+!H; Signoff
1C--1D--1S--,2N,16+HcP; bal
1C--1D--1S--2N--,3C,Stayman
1C--1D--1S--,2S,5+!S; Preempt
1C--1D--1S--,--,To play
1C--1D--,2C,16+HcP; 5+!C
1C--1D--,2D,GF any
1C--1D--2D--,2H,ASK distrib
1C--1D--,2H,5+!H; Strong invite
1C--1D--,2N,22-24HcP; bal
1C--1D--2N--,3C,Stayman
1C--1D--2N--,3D,Trans -> !H
1C--1D--2N--,3H,Trans -> !S
1C--1D--2N--,3N,Signoff
1C--1D--,2S,5+!S; Strong invite
1C--1D--,3C,18-21HcP; 6+!C; NF
1C--1D--,3D,18-21HcP; 6+!D; NF
1C--1D--,3H,18-21HcP; exactly 9 playing tricks
1C--1D--,3N,19-22HcP; A solid minor
1C--1D--,3S,18-21HcP; exactly 9 playing tricks
1C--,1H,7+HcP; 4+!H
1C--1H--,1N,12-15HcP; bal. No 4card MAJOR
1C--1H--1N--,2D,New minor forcing
1C--1H--1N--2D--,2H,min; 3!H
1C--1H--1N--2D--,2N,MAX; 2-3!H
1C--1H--1N--2D--,2S,min; 2-3!H
1C--1H--1N--2D--,3C,Natural; 5+!C
1C--1H--1N--2D--,3D,MAX; 2-3!H; No !D stop
1C--1H--1N--2D--,3H,MAX; 3!H
1C--1H--,1S,4+!S
1C--1H--,2C,4+!C; 0-1!H
1C--1H--,2D,ASK distrib
1C--1H--2D--,2H,4!H; weak hand
1C--1H--2D--,2N,4!H; Strong hand
1C--1H--2D--,2S,5!H; Weak hand
1C--1H--2D--,3C,5!H; Strong hand
1C--1H--2D--,3D,6!H; Weak hand
1C--1H--2D--,3H,6!H; Strong hand
1C--1H--,2H,12-15HcP; 4+!H; NF
1C--1H--,2N,18+HcP; bal
1C--1H--,2S,19+HcP; 5+!S
1C--1H--,3C,19+HcP; 6+!C; GF
1C--1H--,3D,19+HcP; 6+!D; GF
1C--1H--,3H,15-17HcP; 4+!H; NF
1C--1H--,3N,19-21HcP; 0-1!H
1C--1H--,4C,17-18HcP; 6!C + 4!H
1C--1H--,4H,17-18HcP; 2-4-2-5
1C--,1N,7-10HcP; bal. No 4card MAJOR
1C--1N--,2C,16+HcP; 5+!C; Round
1C--1N--,2D,ASK distrib
1C--1N--2D--,2H,5!C
1C--1N--2D--2H--,2S,ASK distrib
